Time-(UTC),Latitude-(degN),Longitude-(degE),Secchi-depth-(m),FU-(disk-1/2-Secchi-depth)
2024-07-31 12:58:52.694,32.855197070143085,-79.90147826227765,0.86,18
2024-07-31 13:18:46.272,32.77179267095331,-79.92456913069937,0.67,16
2024-07-31 13:31:12.984,32.77609524108282,-79.95261632645182,0.61,18
2024-07-31 13:46:57.895,32.78826238031658,-79.96348566077691,0.33,19
2024-07-31 14:06:22.616,32.751036263654065,-79.95017911430452,0.57,17
2024-07-31 14:17:01.397,32.755076987325886,-79.91566681211403,0.26,18
2024-07-31 14:34:07.695,32.762883530188724,-79.8561500194716,0.2,17
2024-08-10 13:54:24.769,39.1344583,-76.4401447,0.88,14
2024-08-10 14:45:31.423,39.1885587,-76.3954744,0.73,16
2024-08-14 12:09:49.327,32.79338093477561,-79.87643146155919,0.57,18
2024-08-14 12:22:04.065,32.79019846487781,-79.8849255463644,0.83,18
2024-08-14 12:37:39.374,32.83531019001532,-79.98681058183311,0.24,21
2024-08-14 12:49:15.576,32.78930405400814,-79.91153953388628,1.27,19
2024-08-14 13:06:50.701,32.82424581066447,-79.89009563730697,0.87,19
2024-08-14 13:18:26.243,32.82526889965571,-79.8776013720261,0.57,19
2024-08-14 13:37:04.325,32.855195246642964,-79.9012833786331,0.82,20
2024-08-14 14:05:28.623,32.66036721415134,-79.94337061427528,0.3,16
2024-08-14 14:06:15.460,32.775884321943465,-79.9533103202936,0.53,20
2024-08-14 14:19:21.553,32.7880720472831,-79.9636310877832,0.5,21
2024-08-14 14:31:00.795,32.71682211172013,-79.93058285283392,0.34,16
2024-08-14 14:38:35.444,32.751070434071906,-79.95049272004285,0.37,19
2024-08-14 15:06:52.613,32.76305506292553,-79.85613471569457,0.31,19
2024-08-14 15:17:51.388,32.80481226324037,-79.86153988113203,0.25,19
2024-08-18 11:45:57.865,27.072602107833145,-82.45257633165987,1.28,16
2024-08-21 12:05:36.017,32.79335574715658,-79.87637146383513,0.28,19
2024-08-21 12:14:27.663,32.89150988686168,-79.97109593831,0.57,20
2024-08-21 12:16:19.715,32.790300438798496,-79.8848486290246,0.65,18
2024-08-21 12:27:10.359,32.78986464501783,-79.91147744745466,0.86,19
2024-08-21 12:38:46.006,32.82423390999287,-79.88981046379617,0.53,19
2024-08-21 12:39:18.895,32.83528500239629,-79.98681016273795,0.3,20
2024-08-21 12:47:19.053,32.8252248745718,-79.87734034812634,0.39,18
2024-08-21 13:04:09.147,32.85546330272493,-79.90116060718884,0.56,18
2024-08-21 13:23:33.005,32.77146346938512,-79.92507958582274,0.57,18
2024-08-21 13:31:20.753,32.7445099549673,-79.97117749422786,0.16,19
2024-08-21 13:47:23.723,32.788218101517096,-79.96346941225227,0.43,18
2024-08-21 13:48:08.301,32.78821298855623,-79.96347854852672,0.32,18
2024-08-21 13:55:42.200,32.66838278624478,-79.99764109037817,0.46,17
2024-08-21 14:10:09.389,32.751130978169336,-79.95041198436105,0.42,18
2024-08-21 14:45:41.520,32.76306321311725,-79.85642860697277,0.54,18
2024-08-21 15:19:10.015,32.805177862041845,-79.86209229449487,0.88,19
2024-08-23 17:19:49.597,29.030250134914702,-80.91907646849317,1.0,14
2024-08-23 19:41:41.080,28.946539883450644,-80.83834747028368,0.4,15
2024-08-24 22:46:25.862,38.6692978,-77.1318485,0.86,16
2024-08-25 13:58:53.737,34.44945913277049,-77.5139136147476,0.92,18
2024-08-25 17:20:59.224,34.54519358466803,-77.31800557121385,0.91,13
2024-08-27 12:24:03.240,27.07309512181182,-82.45056221058469,2.1,11
2024-08-28 12:09:03.302,32.79022007718011,-79.88476711332787,0.66,18
2024-08-28 12:10:40.409,32.79030446836336,-79.88484972056152,0.62,16
2024-08-28 12:26:09.569,32.78964868967388,-79.91076671049892,1.1,19
2024-08-28 12:38:06.762,32.82431594481151,-79.88952608751677,0.84,18
2024-08-28 13:11:47.604,32.85517413757199,-79.90148253684805,0.76,20
2024-08-28 13:25:46.058,32.74454158927185,-79.97110624415133,0.4,19
2024-08-28 13:42:54.658,32.77769674889761,-79.95215521864874,0.53,21
2024-08-28 13:59:25.686,32.78821968672623,-79.96343605826577,0.59,21
2024-08-28 14:23:06.781,32.750988212693954,-79.95001836734133,0.59,18
